id,gen,smile,source,score,weight
AAAK,2,CC(C)NC(=O)C1CCCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-11.1,841.022
AAAL,2,CC(C)(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(O)c(O)c1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-11.0,836.9430000000003
AABB,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,generated,-11.0,694.8510000000002
AAIN,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(O)cc1,generated,-11.0,797.9530000000002
AAEQ,2,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,-11.0,891.02
AAFB,2,CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(O)CCN1C2CCC1CC(C(=O)NC(C)(C)C)C2,generated,-11.0,977.1769999999995
AAED,2,CC(C)CCN(CC1CCCCC1)c1ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)NC(=O)OC2COC3OCCC23)cc1,generated,-11.0,713.9820000000002
AAET,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)CCc1ccccc1,generated,-10.9,996.2219999999999
AAEO,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(NCc2ccccc2)cc1,generated,-10.8,986.2279999999997
AADT,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Nc2ccccc2)cc1,generated,-10.8,770.9490000000003
AAIS,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCNC3)sc2c1,generated,-10.8,673.8580000000001
AAFI,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,generated,-10.8,899.0629999999996
AABT,1,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC1c2ccccc2CC1C(=O)NC1c2ccccc2CC1O,generated,-10.8,547.6770000000002
AAFQ,2,CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-10.8,628.726
AAAU,2,CNC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(C)=O,generated,-10.8,1004.115
ABSI,0,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,hiv,-10.8,670.855
AACO,2,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.7,737.8790000000002
AAIX,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-10.7,819.0129999999999
ABSV,0,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,manual,-10.7,670.855
AALL,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCCCCC4)CC3)sc2c1,generated,-10.7,798.0849999999995
AAGY,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2c1,generated,-10.6,669.8670000000001
AACQ,2,CC(C)(C)NC(=O)C(CC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(O)cc1,generated,-10.6,863.9689999999999
AAJO,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(Br)cc1,generated,-10.6,845.8799999999999
AAJU,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,-10.6,899.08
AAGB,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(-c2ccccc2)cc1,generated,-10.6,957.1859999999998
AAKO,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(-c2ccccc2)cc1,generated,-10.5,695.9050000000001
AAAQ,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccc(C(C)(C)C)cc2)cc1,generated,-10.5,693.9070000000002
AABG,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)cc1,generated,-10.5,809.9390000000002
AACE,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)Cc2ccc(O)cc2)cc1,generated,-10.5,681.8080000000003
AACN,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,-10.4,637.7990000000003
AAEU,2,CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(N)=O)NC(=O)c1ccc(CNc2ccccc2)cc1,generated,-10.4,987.1749999999997
AAIS,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,-10.4,637.7990000000003
AAIJ,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)c1ccc(O)c(O)c1,generated,-10.4,913.0859999999998
AAIA,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(N)cc1,generated,-10.4,667.895
ABSU,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCC4)CC3)sc2c1,manual,-10.4,756.0039999999997
AAGJ,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(CNc2ccccc2)cc1,generated,-10.4,724.947
AAKB,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCCc2ccccc2)cc1,generated,-10.4,651.8260000000002
AAFO,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)CCc1ccccc1,generated,-10.4,996.2219999999999
AADC,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,generated,-10.4,700.2540000000002
AAES,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCC4)CC3)sc2c1,generated,-10.3,756.0039999999997
AADP,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)c1ccc(CNc2ccccc2)cc1,generated,-10.3,840.0349999999999
AAEK,1,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1,generated,-10.3,627.7850000000003
AABY,2,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-10.3,670.8070000000001
AAFD,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)c1ccc(Br)cc1)C(=O)C(CC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(N)=O)NC(=O)c1ccc(C(C)(C)C)s1,generated,-10.3,1000.0299999999996
AAIQ,2,CNC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)(C)C,generated,-10.3,985.1129999999998
AAGW,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Nc2ccccc2)cc1,generated,-10.2,623.7720000000004
AAOO,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OC(C)(C)OC12)S(=O)(=O)c1ccc(N)cc1,generated,-10.2,577.7000000000003
AAAI,2,CCC(=O)NCCNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCCC1C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.2,711.8600000000004
AAKZ,1,COC(=O)NC(C)C1CCCCC1C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)O,generated,-10.2,637.8180000000002
AAAE,2,CC(C)(C)NC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,generated,-10.2,1006.2179999999997
AAEP,1,CNC(=O)NC(C(=O)NC(Cc1ccc(-c2ccccc2)cc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)C(O)CN(CC(N)=O)c1ccccc1)C(C)(C)C,generated,-10.2,785.9899999999999
AAEN,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Nc2ccccc2Cl)cc1,generated,-10.2,658.2170000000003
AACL,1,CC(C)(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CCc1ccccc1,generated,-10.2,953.1139999999998
AAEX,2,Cc1ccc(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(Cc2ccccc2)C(O)CN(CC(C)C)C(=O)c2ccc(-c3ccccc3)cc2)cc1,generated,-10.2,720.9140000000002
AAEK,2,CC(C)CC(NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.2,782.9390000000002
AADK,2,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.2,787.8710000000001
AACH,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCNC3)sc2c1,generated,-10.2,673.8580000000001
AAFO,1,CNC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(C)(C)C,generated,-10.1,985.1129999999996
AAGI,2,NC(=O)CC(NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,generated,-10.1,605.6950000000002
AAMS,1,CC(C)(C)NC(=O)NC(Cc1ccccc1)C(O)CNC(Cc1ccccc1)C(O)CNC(=O)c1ccccc1,generated,-10.1,546.7120000000003
AAKQ,2,CC(C)CC(NC(=O)C1CCCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.1,950.1069999999997
AABU,2,CC(C)(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.1,708.8160000000003
AAVX,0,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,-10.1,746.9090000000001
AAFK,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccccc1)C(=O)O,generated,-10.1,946.075
AAHY,1,CC(=O)NC(Cc1ccccc1)C(O)CNNC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)c1ccc(-c2cccc(C)c2)cc1,generated,-10.1,937.0239999999998
AAID,1,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(N)=O,generated,-10.1,1006.1719999999996
AAJM,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(CNCc2ccccc2)cc1,generated,-10.1,886.1509999999997
AAIY,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(F)cc1,generated,-10.1,550.6490000000003
AABT,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(N)sc2c1,training,-10.0,604.7510000000002
ABSH,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCC4)CC3)sc2c1,hiv,-10.0,756.0039999999997
AAEH,1,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(C)C)C(C)(C)C,generated,-10.0,782.039
AAJY,1,CN(C)C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-10.0,495.5760000000003
AAKA,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccccc1,training,-10.0,532.6590000000003
AAGU,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC(=O)OC(C)(C)C)sc2c1,generated,-10.0,704.8680000000002
AALE,1,O=C(OCCC(CO)(c1ccccc1)C(O)CC(Cc1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,generated,-10.0,570.7290000000003
AABA,2,CC(C)CC(NC(=O)C1CCCCC1C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-10.0,735.9260000000002
AABL,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(F)c(C(C)C)c1,generated,-9.9,592.7300000000002
AABA,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)cc1,training,-9.9,548.6580000000004
AAAK,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(N)sc2c1,training,-9.9,604.7510000000002
AACR,1,Cc1ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)NC(=O)OC2COC3OCCC23)cc1,training,-9.9,546.6860000000004
AABY,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,generated,-9.9,705.7830000000004
ABSX,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,manual,-9.9,547.6740000000003
AAVJ,0,O=C(Nc1ccc2c(c1)OCO2)C1CC2CCC(C1)N2CCCCn1ccc2ccc(O)cc21,generated,-9.9,461.56200000000024
AANO,1,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(CNc2ccccc2)cc1,generated,-9.9,724.947
AAJW,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,training,-9.9,547.6740000000003
AAJX,2,CC(C)CN(CC(O)C(Cc1ccccc1)NS(=O)(=O)c1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(O)cc1,generated,-9.9,905.087
AABH,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,training,-9.8,577.6560000000004
AAJJ,1,CC(C)NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(CNC(=O)C(CC(=O)O)NC(=O)c2cc(C(C)(C)C)nc(CN3CCN(c4ccccc4)CC3)n2)cc1,generated,-9.8,790.9659999999997
AAJD,2,CCC(=O)NCCC(C)C1CCC(C)CC1C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,generated,-9.8,529.7220000000002
AAKP,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,generated,-9.8,808.955
